State,State_abbr,County,FIPS,Population,Sum of LALOWI1_10,Average of MedianFamilyIncome,Sum of TractWhite,FD%,%White,%Minority
Florida,FL,Indian River,12061,138028,21157.89664,60309.93333,116346,0.15328699,0.84291593,0.15708407
Florida,FL,Jackson,12063,49746,2889.252684,50461.09091,34373,0.058080101,0.690970128,0.309029872
Florida,FL,Jefferson,12065,14761,1061.911032,51681.33333,8912,0.071940318,0.603753133,0.396246867
Florida,FL,Lafayette,12067,8870,280.1844982,54383,6868,0.03158788,0.774295378,0.225704622
Florida,FL,Lake,12069,297052,36810.71908,51978.32143,243624,0.123920119,0.820139235,0.179860765
Florida,FL,Lee,12071,618754,87888.24606,61237.00602,513496,0.142040692,0.82988716,0.17011284
Florida,FL,Leon,12073,275487,24792.46853,60423.32353,173480,0.089995058,0.629721185,0.370278815
Florida,FL,Levy,12075,40801,1993.470431,44225.66667,34876,0.048858372,0.854782971,0.145217029
Florida,FL,Liberty,12077,8365,723.0477719,55174,6462,0.086437271,0.772504483,0.227495517
Florida,FL,Madison,12079,19224,1838.333631,42782,11070,0.09562701,0.575842697,0.424157303
Florida,FL,Manatee,12081,322833,22766.27241,62079.39744,264322,0.070520276,0.818757686,0.181242314
Florida,FL,Marion,12083,331298,40087.33452,44694.57143,268284,0.121000835,0.809796618,0.190203382
Florida,FL,Martin,12085,146318,14516.10759,71446.85714,127691,0.099209308,0.872695089,0.127304911
Florida,FL,Miami-Dade,12025,2496435,58803.40493,55933.20231,1841887,0.023554951,0.737806913,0.262193087
Florida,FL,Monroe,12087,73090,5888.847166,65795.06667,65409,0.080569807,0.894910384,0.105089616
Florida,FL,Nassau,12089,73314,10066.15494,70204.75,65809,0.137301947,0.897632103,0.102367897
Florida,FL,Okaloosa,12091,180822,21791.10055,66588.73171,146582,0.120511335,0.81064251,0.18935749
Florida,FL,Okeechobee,12093,39996,14762.73817,39994.58333,31009,0.369105365,0.77530253,0.22469747
Florida,FL,Orange,12095,1145956,85713.02804,59436.95169,728795,0.07479609,0.635971189,0.364028811
Florida,FL,Osceola,12097,268685,50019.73387,50842.29268,190641,0.186164966,0.709533469,0.290466531
Florida,FL,Palm Beach,12099,1320134,66507.63572,69019.96142,970121,0.050379458,0.734865552,0.265134448
Florida,FL,Pasco,12101,464697,55106.18874,53497.52239,409784,0.118585204,0.881830526,0.118169474
Florida,FL,Pinellas,12103,916542,40229.67198,62535.82041,752892,0.043892884,0.821448444,0.178551556
Florida,FL,Polk,12105,602095,88767.59292,50719.52597,452854,0.147431208,0.752130478,0.247869522
Florida,FL,Putnam,12107,74364,6211.832681,39788.70588,57468,0.083532794,0.772793287,0.227206713
Florida,FL,Santa Rosa,12113,151372,16719.92701,65696.08,132920,0.110455877,0.87810163,0.12189837
Florida,FL,Sarasota,12115,379448,37049.31921,66740.19149,342090,0.097640043,0.901546457,0.098453543
Florida,FL,Seminole,12117,422718,33172.06604,69016.04651,330664,0.078473275,0.782233073,0.217766927
Florida,FL,St. Johns,12109,190039,13239.76119,82959.65,169794,0.069668653,0.893469235,0.106530765
Florida,FL,St. Lucie,12111,277789,42710.96253,46905.72727,199336,0.153753253,0.71758061,0.28241939
Florida,FL,Sumter,12119,93420,5586.868742,41910.47368,80893,0.059803776,0.865906658,0.134093342
Florida,FL,Suwannee,12121,41551,2600.434104,44771.28571,34299,0.062584152,0.825467498,0.174532502
Florida,FL,Taylor,12123,22570,2858.3632,44836.25,16964,0.12664436,0.751617191,0.248382809
Florida,FL,Union,12125,15535,2739.553674,48157.33333,11655,0.176347195,0.75024139,0.24975861
Florida,FL,Volusia,12127,494593,73077.11393,52395.90265,408256,0.147752018,0.82543829,0.17456171
Florida,FL,Wakulla,12129,30776,79.99732379,59430.5,25224,0.002599341,0.819599688,0.180400312
Florida,FL,Walton,12131,55043,7113.321857,55019.81818,48351,0.129232089,0.878422324,0.121577676
Florida,FL,Washington,12133,24896,5446.868905,48195.57143,20014,0.218784901,0.803904242,0.196095758
Georgia,GA,Appling,13001,18236,3670.225278,48607.6,13385,0.201262628,0.733987717,0.266012283
Georgia,GA,Atkinson,13003,8375,1027.366526,42257.33333,5213,0.12267063,0.622447761,0.377552239
Georgia,GA,Bacon,13005,11096,135.9623385,55267.66667,8725,0.012253275,0.786319394,0.213680606
Georgia,GA,Baker,13007,3451,1054.157546,55608,1675,0.305464371,0.48536656,0.51463344
Georgia,GA,Baldwin,13009,45720,4539.541112,43579,25121,0.099290051,0.549453193,0.450546807
Georgia,GA,Banks,13011,18395,0,52545,16877,0,0.917477575,0.082522425
Georgia,GA,Barrow,13013,69367,8396.33207,58174.44444,54665,0.121042168,0.788054839,0.211945161
Georgia,GA,Bartow,13015,100157,12796.59274,55299.06667,82862,0.127765336,0.827321106,0.172678894
Georgia,GA,Ben Hill,13017,17634,2418.671442,36861.6,10446,0.137159546,0.59237836,0.40762164
Georgia,GA,Berrien,13019,19286,1667.434231,42637.33333,16327,0.086458272,0.846572643,0.153427357
Georgia,GA,Bibb,13021,155547,19336.79529,47867,67199,0.124314807,0.432017332,0.567982668
Georgia,GA,Bleckley,13023,13063,1063.834419,43746,9151,0.081438752,0.700528209,0.299471791
Georgia,GA,Brantley,13025,18411,375.3598921,42463.66667,17380,0.020387806,0.944000869,0.055999131
Georgia,GA,Brooks,13027,16243,843.1485656,41280.4,9722,0.051908426,0.598534753,0.401465247
Georgia,GA,Bryan,13029,30233,2304.601006,59117,24254,0.076227996,0.802235967,0.197764033
Georgia,GA,Bulloch,13031,70217,5318.285854,44383.91667,47215,0.075740716,0.672415512,0.327584488
Georgia,GA,Burke,13033,23316,1714.255304,40766.5,11070,0.073522701,0.474781266,0.525218734
Georgia,GA,Butts,13035,23655,1760.929537,58809.66667,16546,0.07444217,0.69947157,0.30052843
Georgia,GA,Calhoun,13037,6694,381.1497669,34234,2326,0.056939015,0.347475351,0.652524649
Georgia,GA,Camden,13039,50513,8791.917113,59759.6,37557,0.174052563,0.743511571,0.256488429
Georgia,GA,Candler,13043,10998,33.30370857,39352.66667,7253,0.00302816,0.659483542,0.340516458
Georgia,GA,Carroll,13045,110527,24343.32947,52927.23529,83579,0.220247808,0.756186271,0.243813729
Georgia,GA,Catoosa,13047,63942,7376.001321,61593,59845,0.115354561,0.935926308,0.064073692
Georgia,GA,Charlton,13049,12171,300.9280573,47057.5,8352,0.024725007,0.686221346,0.313778654
Georgia,GA,Chatham,13051,265128,26987.67612,52544.45833,140010,0.10179112,0.528084548,0.471915452
Georgia,GA,Chattahoochee,13053,11267,4225.897583,39348.4,7753,0.37506857,0.688115736,0.311884264
Georgia,GA,Chattooga,13055,26015,4469.224757,43174.83333,21828,0.171794148,0.839054392,0.160945608
Georgia,GA,Cherokee,13057,214346,21259.6644,77194.42308,185536,0.099183863,0.865591147,0.134408853
Georgia,GA,Clarke,13059,116714,28062.68687,58566.43333,72238,0.240439766,0.618931748,0.381068252
Georgia,GA,Clay,13061,3183,1801.625517,29464,1197,0.566014928,0.37606032,0.62393968
Georgia,GA,Clayton,13063,259424,47157.41257,43384.26,48960,0.181777371,0.188725793,0.811274207
Georgia,GA,Clinch,13065,6798,196.8712649,36325,4581,0.028960174,0.673874669,0.326125331
Georgia,GA,Cobb,13067,688078,71894.13868,80875.50833,428023,0.104485449,0.62205593,0.37794407
Georgia,GA,Coffee,13069,42356,1268.107482,42786.22222,27386,0.029939264,0.646567192,0.353432808
Georgia,GA,Colquitt,13071,45498,6605.606041,39172,29441,0.145184536,0.647083388,0.352916612
Georgia,GA,Columbia,13073,124053,5836.70469,76129.7,94867,0.047050089,0.764729591,0.235270409
Georgia,GA,Cook,13075,17212,167.8706118,42975.5,11525,0.009753115,0.669590983,0.330409017
Georgia,GA,Coweta,13077,127317,14763.47803,73109.75,96594,0.115958419,0.758688942,0.241311058
Georgia,GA,Crawford,13079,12630,33.12651484,48040,9428,0.002622844,0.746476643,0.253523357
Georgia,GA,Crisp,13081,23439,789.5197392,45471.83333,12487,0.03368402,0.532744571,0.467255429
Georgia,GA,Dade,13083,16633,0,59159.25,15973,0,0.960319846,0.039680154
Georgia,GA,Dawson,13085,22330,50.87750207,65951,21351,0.002278437,0.956157635,0.043842365
Georgia,GA,Decatur,13087,27842,2062.207306,42861,15096,0.074068217,0.542202428,0.457797572
Georgia,GA,DeKalb,13089,691893,61893.76893,68394.24138,230156,0.089455695,0.332646811,0.667353189
Georgia,GA,Dodge,13091,21796,40.86006941,47200.66667,14549,0.001874659,0.6675078,0.3324922
